Altium Designer Pick and Place Locations
E:\New Volume\Embdes_Final\LUMAX\AMT_Hall_Effect\AMT_20 pin microcontroller\Design\6 pin connector\Output\Assembly\Pick Place for LMAT_AMT_V1.csv

========================================================================================================================
File Design Information:

Date:       22-04-19
Time:       19:02
Revision:   0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J1","CONN HEADER R/A 6POS 2.54MMCONN HEADER SMD R/A 8POS 1.27MM","BottomLayer","HDRRA8W53P127_2X4_9754X251X343P","14.478","30.638","0","CONN HEADER SMD R/A 8POS 1.27MM"
"C24","CAP CER 0.022UF 50V 10% X7R 0603","TopLayer","SMDC0603","3.873","15.621","360","CAP CER 0.022UF 50V 10% X7R 0603"
"R14","RES SMD 1.2K OHM 5% 1/2W 0805","TopLayer","SMDR0805","6.985","28.702","180","RES SMD 1.2K OHM 5% 1/2W 0805"
"D5","TVS DIODE 5.5V 14V 2X1SON","TopLayer","DFN65P100X65X45-2N","20.193","6.869","360","TVS DIODE 8V 20V 2X2DFN"
"U10","MOSFET 2P-CH 20V 0.55A SOT666","TopLayer","SOTFL50P160X60-6N","24.384","13.970","360","MOSFET 2P-CH 20V 0.55A SOT666"
"U9","MOSFET 2P-CH 20V 0.55A SOT666","TopLayer","SOTFL50P160X60-6N","17.996","14.232","360","MOSFET 2P-CH 20V 0.55A SOT666"
"FB1","FERRITE BEAD 600 OHM 0603 1LN","TopLayer","SMDL0603","3.810","22.987","90","FERRITE BEAD 600 OHM 0603 1LN"
"R16","RES SMD 22K OHM 1% 1/10W 0603","TopLayer","SMDR0603","3.048","10.033","90","RES SMD 22K OHM 1% 1/10W 0603"
"D11","TVS DIODE 5.5V 14V 2X1SON","TopLayer","DFN65P100X65X45-2N","14.605","6.858","360","TVS DIODE 8V 20V 2X2DFN"
"D10","TVS DIODE 5.5V 14V 2X1SON","TopLayer","DFN65P100X65X45-2N","17.336","6.920","360","TVS DIODE 8V 20V 2X2DFN"
"D4","TVS DIODE 5.5V 14V 2X1SON","TopLayer","DFN65P100X65X45-2N","23.876","6.604","90","TVS DIODE 8V 20V 2X2DFN"
"C1","CAP CER 0.1UF 50V 10% X7R 0603","TopLayer","SMDC0603","28.435","32.321","90","CAP CER 0.1UF 50V 10% X7R 0603"
"U8","IC REG BUCK 5V 1.8A 8DSO","BottomLayer","SOIC127P600X170_HS-9N","5.784","13.525","360","IC REG BUCK 5V 1.8A 8DSO"
"U1","IC MCU 8BIT 8KB FLASH 20TSSOP","BottomLayer","SOP65P640X120-20N","26.162","25.781","270","IC MCU 8BIT 8KB FLASH 20TSSOP"
"R26","RES SMD 210 OHM 1% 1/10W 0603","TopLayer","SMDR0603","13.271","12.192","180","RES SMD 210 OHM 1% 1/10W 0603"
"R25","RES SMD 210 OHM 1% 1/10W 0603","TopLayer","SMDR0603","17.145","12.192","180","RES SMD 210 OHM 1% 1/10W 0603"
"R24","RES SMD 105 OHM 1% 1/10W 0603","BottomLayer","SMDR0603","14.478","11.049","270","RES SMD 105 OHM 1% 1/10W 0603"
"R23","RES SMD 105 OHM 1% 1/10W 0603","BottomLayer","SMDR0603","17.145","10.160","360","RES SMD 105 OHM 1% 1/10W 0603"
"R22","RES 100 OHM 1% 1W MELF 0207","BottomLayer","RESMELF5922N","11.367","5.588","180","RES 100 OHM 1% 1W MELF 0207"
"R21","RES 100 OHM 1% 1W MELF 0207","BottomLayer","RESMELF5922N","11.303","2.413","180","RES 100 OHM 1% 1W MELF 0207"
"R20","RES SMD 210 OHM 1% 1/10W 0603","TopLayer","SMDR0603","21.316","12.192","180","RES SMD 210 OHM 1% 1/10W 0603"
"R19","RES SMD 210 OHM 1% 1/10W 0603","TopLayer","SMDR0603","25.209","12.129","180","RES SMD 210 OHM 1% 1/10W 0603"
"R18","RES SMD 105 OHM 1% 1/10W 0603","BottomLayer","SMDR0603","21.336","10.160","360","RES SMD 105 OHM 1% 1/10W 0603"
"R17","RES SMD 105 OHM 1% 1/10W 0603","BottomLayer","SMDR0603","25.209","10.160","360","RES SMD 105 OHM 1% 1/10W 0603"
"R15","RES SMD 1M OHM 5% 1/10W 0603","TopLayer","SMDR0603","8.509","12.421","270","RES SMD 1M OHM 5% 1/10W 0603"
