Altium Designer Pick and Place Locations
G:\E2-S_Chennai\AMT\15-JUNE\LMAT_AMT_V3 (15-06-2020 12-44-02)\Project Outputs for LMAT_AMT_V3\Assembly\Pick Place for LMAT_AMT_V3.txt

========================================================================================================================
File Design Information:

Date:       15-06-20
Time:       14:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                                       Layer        Footprint                                Center-X(mm) Center-Y(mm) Rotation Description                                   
FID4       FID40X40                                      TopLayer     FID40X40                                 34.6460      29.9210      90       FID40X40                                      
FID3       FID40X40                                      BottomLayer  FID40X40                                 34.6460      29.9210      90       FID40X40                                      
FID2       FID40X40                                      TopLayer     FID40X40                                 27.0000      2.6920       90       FID40X40                                      
FID1       FID40X40                                      BottomLayer  FID40X40                                 27.0000      2.6920       90       FID40X40                                      
FB7        "FERRITE BEAD 600 OHM 0603 1LN"               BottomLayer  SMDL0603                                 4.5890       10.7696      90       "FERRITE BEAD 600 OHM 0603 1LN"               
FB2        "FERRITE BEAD 600 OHM 0603 1LN"               BottomLayer  SMDL0603                                 7.0614       10.7950      90       "FERRITE BEAD 600 OHM 0603 1LN"               
D11        "TVS DIODE 5V 17.5V SOD882T"                  TopLayer     SOD1510X40                               24.6502      7.4422       0        "TVS DIODE 5V 17.5V SOD882T"                  
D10        "TVS DIODE 5V 17.5V SOD882T"                  TopLayer     SOD1510X40                               18.7495      7.4422       0        "TVS DIODE 5V 17.5V SOD882T"                  
D5         "TVS DIODE 5V 17.5V SOD882T"                  TopLayer     SOD1510X40                               21.7000      7.4422       0        "TVS DIODE 5V 17.5V SOD882T"                  
D4         "TVS DIODE 5V 17.5V SOD882T"                  TopLayer     SOD1510X40                               15.7990      7.4422       0        "TVS DIODE 5V 17.5V SOD882T"                  
L2         "CMC 330UH 300MA 2LN 2 KOHM SMD"              BottomLayer  EMS_744212331                            5.8386       10.6680      270      "CMC 330UH 300MA 2LN 2 KOHM SMD"              
FB6        "FERRITE BEAD 600 OHM 0603 1LN"               BottomLayer  SMDL0603                                 15.4686      10.5664      0        "FERRITE BEAD 600 OHM 0603 1LN"               
FB5        "FERRITE BEAD 600 OHM 0603 1LN"               BottomLayer  SMDL0603                                 19.0500      10.5664      0        "FERRITE BEAD 600 OHM 0603 1LN"               
FB4        "FERRITE BEAD 600 OHM 0603 1LN"               BottomLayer  SMDL0603                                 22.6568      10.7442      360      "FERRITE BEAD 600 OHM 0603 1LN"               
