Altium Designer Pick and Place Locations
C:\Users\User-1\Desktop\AMT_V3\LMAT_AMT_V3_DELIVERABLES\LMAT_AMT_V3_DELIVERABLES\LMAT_AMT_V3_DELIVERABLES\outputs\Design\LMAT_AMT_V3 (3-12-2021 1-21-17 PM)\Assembly\LMAT_AMT_V4.csv

========================================================================================================================
File Design Information:

Date:       16-03-21
Time:       15:29
Revision:   0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U10","MOSFET 2P-CH 20V 0.55A SOT666","BottomLayer","SOTFL50P160X60-6N-PMDT670UPE,115","30.327","13.411","0","MOSFET 2P-CH 20V 0.55A SOT666"
"U9","MOSFET 2P-CH 20V 0.55A SOT666","BottomLayer","SOTFL50P160X60-6N-PMDT670UPE,115","17.855","18.592","0","MOSFET 2P-CH 20V 0.55A SOT666"
"DGND","Test Point- 35mil","BottomLayer","TP_35M_DIA","1.892","8.941","90","Test Point- 35mil"
"VCC","Test Point- 35mil","BottomLayer","TP_35M_DIA","13.106","7.696","90","Test Point- 35mil"
"A3","Test Point- 35mil","BottomLayer","TP_35M_DIA","16.256","9.017","180","Test Point- 35mil"
"C28","CAP CER 10UF 35V X7R 1206","TopLayer","SMDC1206","5.613","13.073","360","CAP CER 10UF 35V X7R 1206"
"C27","CAP CER 10UF 35V X7R 1206","TopLayer","SMDC1206","5.613","9.103","360","CAP CER 10UF 35V X7R 1206"
"U8","IC REG BUCK 5V 1.8A 8DSO","BottomLayer","SOIC127P600X170_HS-9N","6.706","21.057","360","IC REG BUCK 5V 1.8A 8DSO"
"R30","RES SMD 4.7K OHM 1% 1/10W 0402","BottomLayer","SMDR0402","33.249","25.095","180","RES SMD 4.7K OHM 1% 1/10W 0402"
"R29","RES SMD 4.7K OHM 1% 1/10W 0402","BottomLayer","SMDR0402","33.249","23.571","360","RES SMD 4.7K OHM 1% 1/10W 0402"
"J1","J-LINK 6-PIN NEEDLE ADAPTER","BottomLayer","PRG_8.06.16_J-LINK_6-PIN_NEEDLE_ADAPTER","24.384","34.290","0","J-LINK 6-PIN NEEDLE ADAPTER"
"C24","CAP CER 0.022UF 50V 10% X7R 0603","BottomLayer","SMDC0603","2.032","24.003","90","CAP CER 0.022UF 50V 10% X7R 0603"
"R14","RES SMD 1.2K OHM 5% 1/2W 0805","TopLayer","SMDR0805","5.207","28.499","0","RES SMD 1.2K OHM 5% 1/2W 0805"
"FB1","FERRITE BEAD 600 OHM 0603 1LN","BottomLayer","SMDL0603","15.875","34.417","360","FERRITE BEAD 600 OHM 0603 1LN"
"R16","RES SMD 22K OHM 1% 1/10W 0603","BottomLayer","SMDR0603","2.032","17.221","90","RES SMD 22K OHM 1% 1/10W 0603"
"C1","CAP CER 0.1UF 50V 10% X7R 0603","BottomLayer","SMDC0603","30.429","29.464","90","CAP CER 0.1UF 50V 10% X7R 0603"
"U1","IC MCU 8BIT 8KB FLASH 20TSSOP","BottomLayer","SOP65P640X120-20N","28.169","23.952","270","IC MCU 8BIT 8KB FLASH 20TSSOP"
"R26","RES SMD 210 OHM 1% 1/10W 0603","BottomLayer","SMDR0603","25.565","15.062","90","RES SMD 210 OHM 1% 1/10W 0603"
"R25","RES SMD 210 OHM 1% 1/10W 0603","BottomLayer","SMDR0603","18.212","15.062","90","RES SMD 210 OHM 1% 1/10W 0603"
"R24","RES SMD 105 OHM 1% 1/10W 0603","BottomLayer","SMDR0603","26.365","12.624","180","RES SMD 105 OHM 1% 1/10W 0603"
"R23","RES SMD 105 OHM 1% 1/10W 0603","BottomLayer","SMDR0603","19.050","12.649","180","RES SMD 105 OHM 1% 1/10W 0603"
